estmethod,imv_full,imv_mean,imv_sd,attribute,modeltype,rep
mp,0.1482121826290971,0.16783120860431694,0.012716392190925433,independent,DINA,53
MAP,0.15656069818122237,0.15326384902807702,0.006268345367454712,independent,DINA,54
mp,0.16321773219935737,0.17913965124596307,0.010304619331697452,independent,DINA,54
MAP,0.14306199449559426,0.09396592284615375,0.011944423101844032,independent,DINA,55
mp,0.149200186668837,0.14501302313243275,0.008063522109260698,independent,DINA,55
MAP,0.13959333028615922,0.10221773686534806,0.019629184637869952,independent,DINA,56
mp,0.14708160364351672,0.13614011942484633,0.009089994531176806,independent,DINA,56
MAP,0.14526066928510084,0.12587183192669657,0.018601674946845587,independent,DINA,57
mp,0.15410910577382683,0.154841112009777,0.01561677952622459,independent,DINA,57
MAP,0.1404945214596777,0.10053586992183079,0.008953135103234445,independent,DINA,58
mp,0.14699447426731235,0.14458819076758786,0.0046441636495598015,independent,DINA,58
MAP,0.1297856087216918,0.09098644909660512,0.009364545635907552,independent,DINA,59
mp,0.13512746666569417,0.12989929086815233,0.011129421840577868,independent,DINA,59
MAP,0.13580278493028142,0.07866159279708977,0.022158740685924,independent,DINA,60
mp,0.14438361409868042,0.12826573240615508,0.010622805903097828,independent,DINA,60
MAP,0.1333777410756672,0.09037104811092786,0.013185506951571628,independent,DINA,61
mp,0.14263609670121707,0.12767129551522427,0.012982572111348395,independent,DINA,61
MAP,0.12243424746274807,0.06015771339245527,0.014764908543780651,independent,DINA,62
mp,0.12979568962750332,0.10985108887411929,0.008294392910038985,independent,DINA,62
MAP,0.12122830015543895,0.08660580644361798,0.004342792205320477,independent,DINA,63
mp,0.12676389816955005,0.12052171825520257,0.009069252543658446,independent,DINA,63
MAP,0.13157289710132267,0.10245229355022971,0.016782709332623123,independent,DINA,64
mp,0.1384671694647188,0.13410470430121607,0.009404722902831458,independent,DINA,64
MAP,0.13935023768963933,0.09622805828781394,0.015202897883544703,independent,DINA,65
mp,0.1476745773827151,0.137373648884598,0.007495871579560281,independent,DINA,65
MAP,NA,NA,NA,independent,DINA,66
mp,NA,NA,NA,independent,DINA,66
MAP,0.13088663026096037,0.09768282617193826,0.019888186621228574,independent,DINA,67
mp,0.13774246108882196,0.13642217918149768,0.022020078433229263,independent,DINA,67
MAP,0.13376089460608423,0.09209683324053711,0.014977990756063625,independent,DINA,68
mp,0.14032890532239356,0.13108063315440902,0.01329277790980057,independent,DINA,68
MAP,0.14494607332751877,0.10293320232254394,0.014737468099399482,independent,DINA,69
mp,0.15339763813426427,0.14548119078567684,0.012956956661330545,independent,DINA,69
MAP,0.136961322369693,0.09259663708164513,0.02934719991917534,independent,DINA,70
mp,0.14127327591373823,0.1427424539180906,0.011484011256444448,independent,DINA,70
MAP,0.120233057356238,0.04737921740992432,0.044865037349590985,independent,DINA,71
mp,0.12695273941490534,0.07404047516755305,0.06797499596209843,independent,DINA,71
MAP,0.14366330486300533,0.12360362759147037,0.005962995160232076,independent,DINA,72
mp,0.15081578270720195,0.15460681305773233,0.010221764747938794,independent,DINA,72
MAP,0.13041220446974697,0.08866346800459235,0.01072875410485812,independent,DINA,73
mp,0.13589808571568096,0.13424385872202962,0.006433102112455733,independent,DINA,73
MAP,0.13012846272817022,0.09900214719990608,0.0028609012735544732,independent,DINA,74
mp,0.13585102805628854,0.13513270880025896,0.007773839964863693,independent,DINA,74
MAP,0.11844751295312472,0.05944285301976054,0.01604232932267637,independent,DINA,75
mp,0.12474508358435454,0.1083465942974537,0.006405594242856089,independent,DINA,75
MAP,0.135878841333237,0.08916463158406045,0.005434856852061363,independent,DINA,76
mp,0.14501423836592747,0.12683989839686133,0.011031562070104877,independent,DINA,76
MAP,0.14227910573034896,0.11079521573890087,0.014631436677491024,independent,DINA,77
mp,0.1517007844800063,0.14629359019566324,0.007180813219717471,independent,DINA,77
MAP,0.14922745063806475,0.1189613172110637,0.01610446515064635,independent,DINA,78
mp,0.15621267846246917,0.16319530054314527,0.010299535498688162,independent,DINA,78
MAP,0.13488943859608557,0.1010799860546099,0.01931028056736308,independent,DINA,79
mp,0.14128098839117237,0.13536889695258247,0.010460163372879656,independent,DINA,79
MAP,0.12225458479984819,0.09215249353839423,0.008386697326566016,independent,DINA,80
mp,0.12896547120090263,0.12053216320921316,0.005858708189089044,independent,DINA,80
