estmethod,imv_full,imv_mean,imv_sd,attribute,modeltype,rep
MAP,0.14529566151805476,0.09419549201787406,0.020055810667003463,independent,GDINA,4
mp,0.15641528199151938,0.15048339429499252,0.01252542633953117,independent,GDINA,4
MAP,0.14933618624659253,0.07042948524300542,0.022630871295670225,independent,GDINA,5
mp,0.15912734957085214,0.14538409806983374,0.00629104423490017,independent,GDINA,5
MAP,0.14141161983043568,0.09327808888736902,0.026504293485136454,independent,GDINA,6
mp,0.15263783034267403,0.15381682592419443,0.01080002108336285,independent,GDINA,6
MAP,0.18310456549194054,0.11398109433833783,0.008403419576234942,independent,GDINA,7
mp,0.194399536730707,0.19545425006690137,0.010088270988801298,independent,GDINA,7
MAP,0.15450576314611847,0.11044020472441873,0.023560519365558946,independent,GDINA,8
mp,0.16730902922280402,0.15949226366411004,0.019211766405497113,independent,GDINA,8
MAP,0.18222449834477056,0.13644194546341457,0.020236943542776633,independent,GDINA,9
mp,0.19303691556481054,0.1869345219086086,0.013873829151071854,independent,GDINA,9
MAP,0.1623580598525987,0.051145939184053656,0.03400948377468111,independent,GDINA,10
mp,0.1730972196570367,0.15251332035292672,0.01729667266174638,independent,GDINA,10
MAP,0.16373125558900326,0.1056392589826429,0.026649899233640174,independent,GDINA,11
mp,0.17234408042966176,0.18296076572154904,0.018657171093886954,independent,GDINA,11
MAP,0.18259522632386113,0.13011888793662446,0.04417558627575272,independent,GDINA,12
mp,0.19326241078966927,0.20277709230665852,0.0279350098136064,independent,GDINA,12
MAP,0.16645098672996514,0.1143127818397557,0.007936649321288482,independent,GDINA,13
mp,0.17524161911451652,0.1777131515496673,0.011948755949619834,independent,GDINA,13
MAP,0.1634776879695641,0.07054463727415249,0.03005736128805022,independent,GDINA,14
mp,0.17720946144734465,0.15347712552280818,0.016480457114352875,independent,GDINA,14
MAP,0.1865197381051455,0.1163621498414186,0.016170862556957728,independent,GDINA,15
mp,0.1959921694615974,0.19790078470416603,0.014476992052141473,independent,GDINA,15
MAP,0.17537779060360462,0.13254886661131757,0.014997379859681177,independent,GDINA,16
mp,0.1860990482466503,0.17973492926249027,0.0124552874244771,independent,GDINA,16
MAP,0.17045269904984045,0.07514772957649252,0.027398314753092297,independent,GDINA,17
mp,0.18280624283420718,0.15685014718626694,0.010591883461086153,independent,GDINA,17
MAP,0.16388097309849192,0.07674731403994053,0.029878476737667838,independent,GDINA,18
mp,0.1749170329708326,0.1582455686097318,0.014344493449835972,independent,GDINA,18
MAP,0.15326654850200044,0.05502516836331436,0.0196201752694579,independent,GDINA,19
mp,0.16676588533342657,0.13868668431222983,0.008472091256268344,independent,GDINA,19
MAP,0.1713721987884054,0.10710675137208177,0.033978245515167614,independent,GDINA,20
mp,0.18143637044981586,0.17258817902370435,0.017439161001402782,independent,GDINA,20
MAP,0.16227480148426504,0.0820176286045314,0.015234651704488313,independent,GDINA,21
mp,0.17590902127077152,0.1520973658916961,0.018807622856271213,independent,GDINA,21
MAP,0.1574645694730607,0.055991509892555226,0.013696482839201177,independent,GDINA,22
mp,0.1678487704457005,0.15293446463712804,0.007544248281707274,independent,GDINA,22
MAP,0.1621785853050894,0.10790809872829249,0.02974814452042146,independent,GDINA,23
mp,0.17235183182036462,0.1766841158464759,0.020184632573815805,independent,GDINA,23
MAP,0.18737696553445116,0.12421037684423886,0.02429156794100077,independent,GDINA,24
mp,0.19644020383668914,0.19715061624436492,0.017066725760962603,independent,GDINA,24
MAP,0.17453421370265262,0.10070832327290836,0.04057826661232639,independent,GDINA,25
mp,0.1884794053527135,0.17406414674222725,0.021769141463168853,independent,GDINA,25
MAP,0.1684659035489611,0.10681557091172372,0.01983011641356615,independent,GDINA,26
mp,0.18077229354143998,0.17574031527769948,0.012197629944562244,independent,GDINA,26
MAP,0.1573285553986506,0.10229696315307514,0.010364262644841046,independent,GDINA,27
mp,0.16691881344650178,0.16397562338637758,0.006120531936139758,independent,GDINA,27
MAP,0.16590328927942954,0.07150719767941721,0.03220613604948025,independent,GDINA,28
mp,0.17758987098346252,0.1598774901176782,0.006498200355840802,independent,GDINA,28
MAP,0.15404103194889038,0.04834758510741195,0.040259744997379554,independent,GDINA,29
mp,0.1664590857224077,0.14892771548732375,0.01503944714994391,independent,GDINA,29
MAP,0.1829342589537512,0.13795928731081789,0.015691963360766403,independent,GDINA,30
mp,0.19513146344098373,0.1899521265322547,0.012057948227699433,independent,GDINA,30
MAP,0.18019958525731566,0.1396549522214045,0.03151992564269608,independent,GDINA,31
mp,0.19123295980068364,0.2058712144031704,0.026521904164072338,independent,GDINA,31
MAP,0.1644385434133491,0.11052256452060356,0.02588875362784896,independent,GDINA,32
mp,0.1745024964360515,0.1654170851808539,0.02032069518779555,independent,GDINA,32
MAP,0.15237857531532523,0.06875637236363955,0.026865970512721885,independent,GDINA,33
mp,0.16558238877909046,0.1402691329150991,0.011484583533467234,independent,GDINA,33
MAP,0.17240162162030476,0.07055310626103858,0.016581412675369334,independent,GDINA,34
mp,0.1818356553202835,0.16539961482725365,0.008896339532390798,independent,GDINA,34
MAP,0.1658925435157683,0.06689320191293521,0.027630134272965647,independent,GDINA,35
mp,0.1784168874353797,0.15494976716707998,0.014449997881965677,independent,GDINA,35
MAP,NA,NA,NA,independent,GDINA,36
mp,NA,NA,NA,independent,GDINA,36
MAP,0.1634419229844568,0.14144634667598144,0.009364460128960288,independent,GDINA,37
mp,0.1753515422795474,0.1887954158473419,0.01536209025890686,independent,GDINA,37
MAP,0.16631398093578534,0.1076913763055897,0.03282126434464397,independent,GDINA,38
mp,0.17778204389705057,0.162643166974071,0.017843918718014964,independent,GDINA,38
MAP,NA,NA,NA,independent,GDINA,39
mp,NA,NA,NA,independent,GDINA,39
MAP,0.16860859946119106,0.11921409252501539,0.06878579150899428,independent,GDINA,40
mp,0.1785380131232062,0.15859151956610518,0.09079169233778445,independent,GDINA,40
MAP,0.14621655120239171,0.10859705607262365,0.032634710061063874,independent,GDINA,41
mp,0.15975775436853684,0.16300811326792772,0.01836230872451347,independent,GDINA,41
MAP,0.16953998732474515,0.10243741983027602,0.02837504157999294,independent,GDINA,42
mp,0.18196717750041191,0.1702202789630218,0.021503873619245082,independent,GDINA,42
MAP,0.15467917194412073,0.07165802457038278,0.014423658077992976,independent,GDINA,43
